Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
Biden won elections
	Yes sir, Mister President-elect Biden 😊	erkalyn12492	Sun Dec 06 15:15:43 +0000 2020	[]	0	0	https://twitter.com/erkalyn12492/status/1335603836837376006
	"@leemeade77 @JCrongeyer @DeanObeidallah As I have said, Biden and the Corporate wing of the Democratic Party better understand the reality of the Election 4 weeks ago. 

Without COVID-19, Democrats would have lost this election. 

...and they believe Biden's election was a massive win, for their approach to politics."	bceyre22	Sun Dec 06 14:26:18 +0000 2020	[]	0	0	https://twitter.com/bceyre22/status/1335591400188964865
	President-elect Biden urges congress, Trump to pass COVID-19 relief https://t.co/XCzD8ZQW7H  PUT BIDEN in PRISON for TREASON !!!	j_reigard	Sun Dec 06 14:19:43 +0000 2020	[]	0	0	https://twitter.com/j_reigard/status/1335589745049657348
	Wheres Biden..... 🤣🤣🤣	shirleydebeer	Sun Dec 06 15:31:14 +0000 2020	[]	0	0	https://twitter.com/shirleydebeer/status/1335607742820659202
	How about they tell Biden what it is then...	StuYeWest1	Sun Dec 06 14:16:56 +0000 2020	[]	0	0	https://twitter.com/StuYeWest1/status/1335589042503684098
	@MollyJongFast On January 21 the GOP will be saying this is the Biden pandemic, the Biden deficit and the Biden bothched vaccine rollout.	haft_larry	Sun Dec 06 14:10:24 +0000 2020	[]	0	0	https://twitter.com/haft_larry/status/1335587399284518912
	Does this apply to Biden?	PracticalRebel	Sun Dec 06 12:38:07 +0000 2020	[]	0	0	https://twitter.com/PracticalRebel/status/1335564172826980353
	"YOUR DAILY REMINDER:

China released covid intentionally with the approval of the globalist cabal (soros, gates, biden) etc.....

Then they interfered with our elections to get Joey Bribes Biden elected.

Fuck China"	BenStaples79	Sun Dec 06 14:31:02 +0000 2020	[]	0	0	https://twitter.com/BenStaples79/status/1335592589202878467
	But they elected this person and will probably elect them again	gingermalcolm	Sun Dec 06 13:42:02 +0000 2020	[]	0	0	https://twitter.com/gingermalcolm/status/1335580261032075264
	Why did congress send a letter to Biden shortly after the election to tell him he wasn't the president elect? Maybe you should check your sources? I don't recommend your friends at CNN. 😂🤣😂	KAS63813884	Sun Dec 06 14:38:21 +0000 2020	[]	0	0	https://twitter.com/KAS63813884/status/1335594433958514690
	Yup... Suzy wins... and Pres-elect Biden didn't cheat huh?	marie342912	Sun Dec 06 12:44:10 +0000 2020	[]	0	0	https://twitter.com/marie342912/status/1335565698203004931
	@TeamTrump @realDonaldTrump Who's we? You just LOST the ELECTION. We're moving forward to a leader for America's, Joe Biden. The tRUMP VIRUS will be gone once Biden effectively distributes the vaccine!!! https://t.co/5i2ZM13HTV	alnino10000	Sun Dec 06 14:34:41 +0000 2020	[]	0	0	https://twitter.com/alnino10000/status/1335593510926430208
	@realDonaldTrump If the 2 GOP Senators are elected, President Biden won't be able to make the changes he was elected to do. Instead, we'll get more of the same: pandemic and economic crisis denial.	RobertRDukes2	Sun Dec 06 14:41:35 +0000 2020	[]	0	0	https://twitter.com/RobertRDukes2/status/1335595244113588224
	"Electoral College hasn't yet elected Biden as President-Elect.
Even if he looses 2020, there is a very high chance that he will make a comeback in 2024.
Think twice before what you say !!"	proudswamybhakt	Sun Dec 06 12:02:33 +0000 2020	[]	0	0	https://twitter.com/proudswamybhakt/status/1335555222345711618
	No. Biden should not mention Trump for any reason. Biden should look forward, not back.  https://t.co/rUvRStdPSb	FedUpGOPer	Sun Dec 06 14:13:28 +0000 2020	[]	0	0	https://twitter.com/FedUpGOPer/status/1335588168431775750
	@KamalaHarris @JoeBiden Joe Biden will not be president you will not be vice. We know the election was rigged Trump will win he has to for our country and the people in it. You and Biden will destroy what is left after covid we wont let you.	jesseedwardsmit	Sun Dec 06 15:09:12 +0000 2020	[]	0	0	https://twitter.com/jesseedwardsmit/status/1335602194339557381
	.@GovMikeHuckabee weighs in on the coverage of Trump, Joe Biden, the election and the coronavirus, and @JessicaTarlov analyzes the media’s treatment of Biden, his Cabinet picks and his new press secretary #Mediabuzz	MediaBuzzFNC	Sun Dec 06 12:34:31 +0000 2020	[]	0	0	https://twitter.com/MediaBuzzFNC/status/1335563266773438464
	.@GovMikeHuckabee weighs in on the coverage of Trump, Joe Biden, the election and the coronavirus, and @JessicaTarlov analyzes the media’s treatment of Biden, his Cabinet picks and his new press secretary #Mediabuzz	HowardKurtz	Sun Dec 06 12:34:23 +0000 2020	[]	0	0	https://twitter.com/HowardKurtz/status/1335563235609743360
	President-elect Biden doesn’t expect a large crowd at inauguration due to pandemic https://t.co/TYsIlkgaGn	25NewsKXXV	Sun Dec 06 13:20:00 +0000 2020	[]	0	0	https://twitter.com/25NewsKXXV/status/1335574716845854723
	President-elect Biden doesn’t expect a large crowd at inauguration due to pandemic https://t.co/NJK7sbHhb9 https://t.co/XUIXW9REQs	PIX11News	Sun Dec 06 12:25:40 +0000 2020	[]	0	0	https://twitter.com/PIX11News/status/1335561039589543937
	
When lockdown ends
	End the lockdowns NOW!	colann77	Sun Dec 06 13:03:14 +0000 2020	[]	0	0	https://twitter.com/colann77/status/1335570497598271489
	@SeoirseDuffy_ Has lockdown ended? 😨	TomGuytonDay	Sun Dec 06 14:28:14 +0000 2020	[]	0	0	https://twitter.com/TomGuytonDay/status/1335591887932108801
	"When will this lockdown end?
#ImranAshraf"	FangirlOfImran1	Sun Dec 06 13:43:45 +0000 2020	['ImranAshraf']	0	0	https://twitter.com/FangirlOfImran1/status/1335580693431267330
	End the Mask = End the Pandemic	SaysOrm	Sun Dec 06 13:37:27 +0000 2020	[]	0	0	https://twitter.com/SaysOrm/status/1335579104779890691
	This pandemic gotta end before i end myself	junepontianak_	Sun Dec 06 12:24:33 +0000 2020	[]	0	0	https://twitter.com/junepontianak_/status/1335560760815042562
	@Theseus2323 @SubjectAccesss @metpoliceuk The ban on protesting ended when the lockdown ended.	juliediane	Sun Dec 06 14:03:05 +0000 2020	[]	0	0	https://twitter.com/juliediane/status/1335585555908845573
	@Wayne57072607 @SubjectAccesss @4ourdogs The ban on protests ended when the lockdown ended.	juliediane	Sun Dec 06 14:01:46 +0000 2020	[]	0	0	https://twitter.com/juliediane/status/1335585227511652353
	The lockdown ended. England is bustling again.	YangZhou1993	Sun Dec 06 15:02:51 +0000 2020	[]	0	0	https://twitter.com/YangZhou1993/status/1335600596028690433
	Can this lockdown end already I'm so bored https://t.co/8YmgueM5DX	yourboyyjames	Sun Dec 06 14:31:28 +0000 2020	[]	0	0	https://twitter.com/yourboyyjames/status/1335592699538399233
	Did the mandate for masks end with lockdown?	pickledpuffin	Sun Dec 06 12:36:19 +0000 2020	[]	0	0	https://twitter.com/pickledpuffin/status/1335563721859620864
	lockdown just ended and i see this? bet https://t.co/Kr4fbaRMM1	ryandeIaney	Sun Dec 06 12:31:11 +0000 2020	[]	0	0	https://twitter.com/ryandeIaney/status/1335562429409996808
	"If we don't end the pandemic with a vaccine, how do we end it?
1 Stay in lockdown until it goes away
2 End lockdown &amp; let it rip without a vaccine
3 Covid does not exist??
4 Please suggest
https://t.co/qHpBmqj9Ua https://t.co/Pe9UABiEZU"	Effiedeans	Sun Dec 06 12:57:34 +0000 2020	[]	0	0	https://twitter.com/Effiedeans/status/1335569069630758918
	pandemic has not ended!	cubeghost	Sun Dec 06 15:34:06 +0000 2020	[]	0	0	https://twitter.com/cubeghost/status/1335608460415815680
	Tool, end of.	bajankris	Sun Dec 06 15:23:40 +0000 2020	[]	0	0	https://twitter.com/bajankris/status/1335605835528101894
	When will this madness end?!	teaandflowers	Sun Dec 06 15:19:21 +0000 2020	[]	0	0	https://twitter.com/teaandflowers/status/1335604748939112448
	The end of covid	endrio_muniz	Sun Dec 06 15:17:26 +0000 2020	[]	0	0	https://twitter.com/endrio_muniz/status/1335604266699010048
	Ends tonight!	1999flyboy	Sun Dec 06 15:15:06 +0000 2020	[]	0	0	https://twitter.com/1999flyboy/status/1335603681337761794
	THEY ENDED THE PANDEMIC	taetaenu1524	Sun Dec 06 14:59:19 +0000 2020	[]	0	0	https://twitter.com/taetaenu1524/status/1335599709260455937
	Ended the pandemic 😍	Kingkrishie	Sun Dec 06 14:56:02 +0000 2020	[]	0	0	https://twitter.com/Kingkrishie/status/1335598880637943810
	Incompetent to the end.	freeloosedirt	Sun Dec 06 14:52:50 +0000 2020	[]	0	0	https://twitter.com/freeloosedirt/status/1335598076765990915
	
Trump has covid
	So it is Trump.	survivorostorms	Sun Dec 06 14:37:57 +0000 2020	[]	0	0	https://twitter.com/survivorostorms/status/1335594332057964546
	Trump 2020 https://t.co/Y2P3ppqR9g	UpholsteryElite	Sun Dec 06 12:13:21 +0000 2020	[]	0	0	https://twitter.com/UpholsteryElite/status/1335557940401541121
