Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url
Biden won elections
	Times have changed na nga :) MNL48 can't be ignored anymore. This group can bring $$$ through their singles, streaming, and general election despite the pandemic! #MNL48xBINIxSHAonPBB @mnl48official	friesketchup2	Sun Dec 06 13:30:22 +0000 2020	[]	0	0	https://twitter.com/friesketchup2/status/1335577322049556480
	@lukebahati @Lion_Of_Mara And to imagine that people had the guts of re-electing Uhuruto considering that their first term was more a like a heist. Sa hii ata wanajaribu kuiba na adabu although the Covid-19 heist proved that corruption is a common denominator in Uhuru's govt.	KChebbe21	Sun Dec 06 14:43:04 +0000 2020	[]	0	0	https://twitter.com/KChebbe21/status/1335595620267151361
	"@TribLIVE Yes. Stimulus checks:

Trump 1
Biden:0

It better be more than the stimulus check trump issued that came to approximately $3/ a day during the pandemic. 

I could have collected cans and made more money"	RobRob412	Sun Dec 06 13:18:07 +0000 2020	[]	0	0	https://twitter.com/RobRob412/status/1335574240469409793
	Biden got 81mil votes, 7 million more votes than don the con.	DebKoepke	Sun Dec 06 13:24:00 +0000 2020	[]	0	0	https://twitter.com/DebKoepke/status/1335575721209630720
	But, vaccine, BUT, Biden.... drunk Lucille got bent over the couch again.	jmjlyons	Sun Dec 06 13:24:19 +0000 2020	[]	0	0	https://twitter.com/jmjlyons/status/1335575799831941120
	Does this apply to Biden?	PracticalRebel	Sun Dec 06 12:38:07 +0000 2020	[]	0	0	https://twitter.com/PracticalRebel/status/1335564172826980353
	"@INDEPEN79361202 
@FoodForTruth1 
Did the pandemic help them to steal the election but also got them caught using virtual meetings to do it?"	gjscash	Sun Dec 06 13:24:42 +0000 2020	[]	0	0	https://twitter.com/gjscash/status/1335575896741261312
	And from now on we can call them “Elected”	VirgilioMicale	Sun Dec 06 13:43:03 +0000 2020	[]	0	0	https://twitter.com/VirgilioMicale/status/1335580514640650241
	Wheres Biden..... 🤣🤣🤣	shirleydebeer	Sun Dec 06 15:31:14 +0000 2020	[]	0	0	https://twitter.com/shirleydebeer/status/1335607742820659202
	@TeamTrump @realDonaldTrump Good thing Joe Biden’s got that vaccine ready, all those Chump supporters are going to need it.	Jimmyma91767346	Sun Dec 06 13:44:31 +0000 2020	[]	0	0	https://twitter.com/Jimmyma91767346/status/1335580883525513220
	@ConanOBrien Biden won, I finally had a surgery I needed (pre-Covid), and we still have jobs. That’s all I got but it’s enough.	aphotomama	Sun Dec 06 14:05:07 +0000 2020	[]	0	0	https://twitter.com/aphotomama/status/1335586069354573826
	How about they tell Biden what it is then...	StuYeWest1	Sun Dec 06 14:16:56 +0000 2020	[]	0	0	https://twitter.com/StuYeWest1/status/1335589042503684098
	#FightForTrump Ya, he got a turnout yesterday during a worldwide pandemic. Way to go! You must feel special ya SHEEP! 😂 But!! #PresidentElectJoe got a Bigger turnout of 81 million. Biden won, your germ infested rallies won’t change anything fools. @JoeBiden @KamalaHarris 💙🇺🇸♥️ https://t.co/wFI1H2PNPZ	Tessa78580910	Sun Dec 06 13:55:34 +0000 2020	['FightForTrump']	0	0	https://twitter.com/Tessa78580910/status/1335583663908642817
	"- nephew stood up on his own
- good people got engaged 
- the absence of some self-independence was a blessing given the COVID months of no work
- the #EndSARS movement
- Biden getting Trump out
- got back into acting based off a random phone call"	chefjeff3000	Sun Dec 06 14:09:23 +0000 2020	[]	0	0	https://twitter.com/chefjeff3000/status/1335587142303682561
	Recall election!	arch1com	Sun Dec 06 15:19:07 +0000 2020	[]	0	0	https://twitter.com/arch1com/status/1335604693419106306
	Because a pandemic, stressful elections,  category 2 winds, fires, and a new stay at home order aren’t frazzling enough now we got a earthquake that shook me outta bed. #2020	starfleetmom	Sun Dec 06 15:32:04 +0000 2020	[]	0	0	https://twitter.com/starfleetmom/status/1335607949473894400
	But they elected this person and will probably elect them again	gingermalcolm	Sun Dec 06 13:42:02 +0000 2020	[]	0	0	https://twitter.com/gingermalcolm/status/1335580261032075264
	@BobMarsdale @realDonaldTrump @BrianKempGA Don't worry Joe Biden's got it everybody's going to have to wear a mask. That's his big covid-19 plan.	digitalsams	Sun Dec 06 15:02:24 +0000 2020	[]	0	0	https://twitter.com/digitalsams/status/1335600483201921025
	"Lol is this for the January 20,2021 Biden inauguration Ding Dong the Trump is gone party or the just got our second Covid vaccine party? 

Thoughts???"	AmySab1	Sun Dec 06 14:34:03 +0000 2020	[]	0	0	https://twitter.com/AmySab1/status/1335593350716665857
	@realDonaldTrump Smart idea to hospitalize your base with Covid because they got infected from your rally prior to the runoff election.  You are such an idiot, that's why you lost. #OneTermTrump	NedSmithII	Sun Dec 06 13:12:10 +0000 2020	[]	0	0	https://twitter.com/NedSmithII/status/1335572742863773698
	
When lockdown ends
