Query	Tweet	Username	Date	Hashtags	Likes	Retweets	Url	Cluster
us lockdown
	"The most diverse #DJ in the Universe!!! 😎
#np #sundayvibes #NowPlaying #Uganda #ATEEZxMAMA #COVID19 #COVID #COVIDー19 #lockdown #music #worldremit #BLACKPINK #BTSxMMA #DAY6 #Euphoria #GOT7_AT_MAMA2020 #MnetASIANMUSICAWARDS #RedVelvet #TXTatMAMA2020 #TREASURE_at_MAMA #playing https://t.co/CRRvPJBwaw"	djSpaqz	Sun Dec 06 12:40:21 +0000 2020	['DJ', 'np', 'sundayvibes', 'NowPlaying', 'Uganda', 'ATEEZxMAMA', 'COVID19', 'COVID']	0	0	https://twitter.com/djSpaqz/status/1335564738416275457	0
	"Intercare Health Center offers Home Visit COVID-19 Screening (PCR Swab Test) at very competitive prices! 

To book your appointment, call us on 02 639 0080 and 050 626 184.

#COVID19Screening #COVID19ScreeninginAbuDhabi #PCRTest #PCRTestHomeVisit #AbuDhabi #UAE https://t.co/npElQe3xtQ"	IHCUAE	Sun Dec 06 12:00:15 +0000 2020	[]	0	0	https://twitter.com/IHCUAE/status/1335554645234683905	0
	"@Justinianuscode @paulsperry_ 1. US has 287M more population than S.K.
2. S.K. is not treating an ailment with a 99.87% survival rate as the end of the world.
3. Was early proven CDC counts death with Covid involved as Covid attributed n/m comorbidity, marks it as attributed and lists the cause COVID."	Solidus316YT	Sun Dec 06 12:53:48 +0000 2020	[]	0	0	https://twitter.com/Solidus316YT/status/1335568120296087555	2
	@CaptianZhukov @JoAnnDwyer5 @debow19 @ChampChong @TheRealRVonYork There’s a large difference between “less covid” and “no covid”. In the US, that “dip” you reference still meant we had community spread of covid. In Australia, it has meant 0 community cases.	ThisIs_Sophie	Sun Dec 06 12:34:40 +0000 2020	[]	0	0	https://twitter.com/ThisIs_Sophie/status/1335563307118436358	2
	"Intercare Health Center offers Home Visit COVID-19 Screening (PCR Swab Test) at very competitive prices! 

To book your appointment, call us on 02 639 0080 and 050 626 184.

#COVID19Screening #COVID19ScreeninginAbuDhabi #PCRTest #PCRTestHomeVisit #AbuDhabi #UAE https://t.co/K1EpFs7xCT"	IHCUAE	Sun Dec 06 12:00:29 +0000 2020	[]	0	0	https://twitter.com/IHCUAE/status/1335554705783738369	2
	"""WE are the 99%!!"" Most of us have a more than 99% chance of surviving covid-19. And that is according to the CDC. A vax for all to protect less than one percent of the population? Insanity! #CovidVaccine #COVID19 #Covid_19 #COVID"	MamaLori1968	Sun Dec 06 12:31:24 +0000 2020	[]	0	0	https://twitter.com/MamaLori1968/status/1335562482413350912	0
	"The COVID memoir we’ve all been waiting for.

I think I’ve worked it out. 

Donuts cause COVID.
COVID causes lockdowns.
Lockdowns cause bad veins. 

Therefore donuts = veins. I think. https://t.co/ys1Qxfo9aX"	SamuelBS85	Sun Dec 06 12:43:41 +0000 2020	[]	0	0	https://twitter.com/SamuelBS85/status/1335565574835941378	0
	Indian trials in final stage as UK, Russia announce vaccination from next week #Vaccine #Vaccination #COVID19  #Sputnik  #Pok #Pakistan #COVID-19 #Lockdown #Afghanistan #AfghanWomen #Taliban https://t.co/GDVGmvDdib	FocusAsia	Sun Dec 06 12:25:23 +0000 2020	['Vaccine', 'Vaccination', 'COVID19']	0	0	https://twitter.com/FocusAsia/status/1335560969699770368	0
	"5-Dec-2020
213,875 NEW #COVIDー19 confirmed cases in the US
14,581,337 TOTAL #COVIDー19 confirmed cases in the US

Data source: https://t.co/HWTO9C6zPQ https://t.co/4fVXwNe65H"	DavidLWindt	Sun Dec 06 12:35:39 +0000 2020	['COVIDー19', 'COVIDー19']	0	0	https://twitter.com/DavidLWindt/status/1335563555844796416	2
	IN FOCUS is back! So thrilled to have you with us today @11:30 a.m. as three local mayors try and clear up COVID confusion. The state says “do this,” but counties want to “do that”... so who the heck can “do what?!!” Join us in a few hours. @MyNews13 @BN9 #COVID19	AllisonTorresTV	Sun Dec 06 12:01:20 +0000 2020	[]	0	0	https://twitter.com/AllisonTorresTV/status/1335554916178403328	2
	"Apparently Covid also cures cancer. How else does anyone explain a 75% drop in urgent GP lung cancer referrals during the 1st lockdown? It’s also a very valid question to ask how many of the reported Covid deaths were actually caused by Covid.
This coverup will last for decades."	SimmosLeftPeg	Sun Dec 06 12:14:49 +0000 2020	[]	0	0	https://twitter.com/SimmosLeftPeg/status/1335558309504573441	0
	"How many died from starvation in 2019/2020? What is the delta from 2020? 270M projected for 2021. Now compare that with covid deaths. Is the risk of a global food supply shortage worth the reward of lockdowns minimal impact on reducing spread of covid?

Govt intervention = FAIL"	marketwizard87	Sun Dec 06 12:58:25 +0000 2020	[]	0	0	https://twitter.com/marketwizard87/status/1335569285071179776	2
	Dr. Breggin’s COVID-19 Totalitarianism Legal Report originally written to support a legal case against Ohio to restrain government from the continued lockdown and mandates in response to Covid 19. Fantastic!!! https://t.co/PAiRCZLX7f	zoziwolf	Sun Dec 06 12:44:37 +0000 2020	[]	0	0	https://twitter.com/zoziwolf/status/1335565810690088960	2
	Pete Davidson Roasts Staten Island's Anti-COVID Lockdown 'Babies' on SNL #petedavidson #covid #livesnl #protests #anticovidlockdownbabies #mallsantas https://t.co/wK1zUqf4Mb	upstractcom	Sun Dec 06 12:39:10 +0000 2020	['petedavidson', 'covid', 'livesnl', 'protests']	0	0	https://twitter.com/upstractcom/status/1335564437651136515	2
	COVID-19: Updates for the US #covid19 https://t.co/zAabRGt7dz	TheodoreProf	Sun Dec 06 12:57:56 +0000 2020	['covid19']	0	0	https://twitter.com/TheodoreProf/status/1335569161062330370	0
	"Australia - still trapping their Covid cases in hotel quarantine (HQ) before they enter the country and I’ve t Australians 

In the U.K., the rich and elite can swagger into the country without quarantine, spreading Covid amongst us."	RoundLike	Sun Dec 06 12:30:45 +0000 2020	[]	0	0	https://twitter.com/RoundLike/status/1335562320970444800	0
	In Malaysia, some of us are more afraid of alcohol than Covid-19. #COVID19	xuezheng	Sun Dec 06 12:24:48 +0000 2020	['COVID19']	0	0	https://twitter.com/xuezheng/status/1335560824610439168	0
	@BBCShaunLey &lt;&lt;Oy mush when did your contract say you could introduce a US Senate election by calling the current President of the USA a 'covid-skeptic'? When did he deny the existence of covid? Why do @BBCNews allow this? @CliveMyrieBBC  @KPCResearch @SandraWeeden @SueC00K	Stephan72159033	Sun Dec 06 12:18:45 +0000 2020	[]	0	0	https://twitter.com/Stephan72159033/status/1335559301507715073	0
	@lilxuxi_ i wish, but honestly not even sure they crossed path with all the covid procedures 🥲 covid keeping us from all the interctions in award shows  🥲	Tzadkiel_	Sun Dec 06 12:12:18 +0000 2020	[]	0	0	https://twitter.com/Tzadkiel_/status/1335557678857416704	0
	Many Ways The @BackstreetBoys Have Kept Us Smiling During Covid-19 https://t.co/mvqrOZRLig #ajmclean #covid	BSBFangirls	Sun Dec 06 12:59:23 +0000 2020	['ajmclean', 'covid']	0	0	https://twitter.com/BSBFangirls/status/1335569528051425281	2
	
trump has covid
	@TeamTrump @realDonaldTrump COVID-19  COVID-19  COVID-19 COVID-19 Covid-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19	lcb582	Sun Dec 06 12:43:05 +0000 2020	[]	0	0	https://twitter.com/lcb582/status/1335565424377933824	0
	@realDonaldTrump COVID-19  COVID-19  COVID-19 COVID-19 Covid-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19	lcb582	Sun Dec 06 12:41:55 +0000 2020	[]	0	0	https://twitter.com/lcb582/status/1335565129426079744	0
	@realDonaldTrump COVID-19  COVID-19  COVID-19 COVID-19 Covid-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19 COVID-19	lcb582	Sun Dec 06 12:40:29 +0000 2020	[]	0	0	https://twitter.com/lcb582/status/1335564769793888256	0
	"There are 2 types of Covid-

*Covid-D for Democrats and Covid 19 for rest.

Covid D provides immunities from Covid for all Democrat Leaders-
Immune for BLM and Antifa
Immune for Biden's Church
Immune for Dem Ldrs ..Restaurants/Businesses vacations etc.

Covid-19 for rest of pop!"	lawyer4laws	Sun Dec 06 12:32:05 +0000 2020	[]	0	0	https://twitter.com/lawyer4laws/status/1335562656279891969	0
	"covid flop
covid disband
covid basurita
covid asco
covid ugly"	H0BIMIEL	Sun Dec 06 12:03:15 +0000 2020	[]	0	0	https://twitter.com/H0BIMIEL/status/1335555399785836545	2
